regiao,estado,municipio,votos_Bolsonaro,votos_Lula
Sudeste,SP,ANHEMBI,2315,1498
Sudeste,SP,ANHUMAS,1547,1051
Centro-Oeste,GO,ANICUNS,7237,4668
Nordeste,PI,ANISIO DE ABREU,635,4913
Sul,SC,ANITA GARIBALDI,2920,2695
Sul,SC,ANITAPOLIS,1653,910
Norte,AM,ANORI,3036,4010
Sul,RS,ANTA GORDA,3325,718
Nordeste,BA,ANTAS,2491,5682
Sul,PR,ANTONINA,7596,4022
Nordeste,CE,ANTONINA DO NORTE,653,4418
Nordeste,PI,ANTONIO ALMEIDA,648,1596
Nordeste,BA,ANTONIO CARDOSO,947,8224
Sudeste,MG,ANTONIO CARLOS,2582,4916
Sul,SC,ANTONIO CARLOS,5901,1271
Sudeste,MG,ANTONIO DIAS,2862,3648
Nordeste,BA,ANTONIO GONCALVES,1441,5044
Centro-Oeste,MS,ANTONIO JOAO,2971,2591
Nordeste,RN,ANTONIO MARTINS,621,3892
Sul,PR,ANTONIO OLINTO,2769,2525
Sul,RS,ANTONIO PRADO,7241,1774
Sudeste,MG,ANTONIO PRADO DE MINAS,592,863
Nordeste,PB,APARECIDA,1249,4196
Sudeste,SP,APARECIDA,13761,8119
Sudeste,SP,APARECIDA D'OESTE,1544,1409
Centro-Oeste,GO,APARECIDA DE GOIANIA,148793,108022
Centro-Oeste,GO,APARECIDA DO RIO DOCE,1091,1077
Norte,TO,APARECIDA DO RIO NEGRO,1437,1775
Centro-Oeste,MS,APARECIDA DO TABOADO,8120,5261
Sudeste,RJ,APERIBE,4567,3162
Sudeste,ES,APIACA,2356,2172
Centro-Oeste,MT,APIACAS,2700,1500
Sudeste,SP,APIAI,7376,6461
Nordeste,MA,APICUM-ACU,2410,7062
Sul,SC,APIUNA,4886,1701
Nordeste,RN,APODI,5311,18793
Nordeste,BA,APORA,2069,7891
Centro-Oeste,GO,APORE,1251,986
Nordeste,BA,APUAREMA,1212,3256
Sul,PR,APUCARANA,51894,21614
Norte,AM,APUI,4924,2809
Nordeste,CE,APUIARES,2033,7829
Nordeste,SE,AQUIDABA,2861,9493
Centro-Oeste,MS,AQUIDAUANA,12803,12066
Nordeste,CE,AQUIRAZ,17580,33374
Sul,SC,ARABUTA,2129,1023
Nordeste,PB,ARACAGI,1803,8616
Sudeste,MG,ARACAI,785,1099
Nordeste,SE,ARACAJU,142489,190875
Sudeste,SP,ARACARIGUAMA,7198,5353
Nordeste,BA,ARACAS,1527,6202
Nordeste,CE,ARACATI,13449,31631
Nordeste,BA,ARACATU,1958,7868
Sudeste,SP,ARACATUBA,79700,35393
Nordeste,BA,ARACI,4206,24379
Sudeste,MG,ARACITABA,669,1149
Nordeste,CE,ARACOIABA,4757,14920
Nordeste,PE,ARACOIABA,3863,9158
Sudeste,SP,ARACOIABA DA SERRA,12602,6517
Sudeste,ES,ARACRUZ,30692,22919
Centro-Oeste,GO,ARACU,1603,1588
Sudeste,MG,ARACUAI,6339,12340
Centro-Oeste,GO,ARAGARCAS,5795,4504
Centro-Oeste,GO,ARAGOIANIA,3749,2997
Norte,TO,ARAGOMINAS,1277,2120
Norte,TO,ARAGUACEMA,1359,2130
Norte,TO,ARAGUACU,3441,1446
Centro-Oeste,MT,ARAGUAIANA,1192,1093
Norte,TO,ARAGUAINA,52404,37591
Centro-Oeste,MT,ARAGUAINHA,365,416
Nordeste,MA,ARAGUANA,1000,4562
Norte,TO,ARAGUANA,1328,1341
Centro-Oeste,GO,ARAGUAPAZ,2318,2083
Sudeste,MG,ARAGUARI,42103,26117
Norte,TO,ARAGUATINS,6541,9462
Nordeste,MA,ARAIOSES,3718,19925
Centro-Oeste,MS,ARAL MOREIRA,3232,2627
Nordeste,BA,ARAMARI,1008,5922
Sul,RS,ARAMBARE,1389,1216
Nordeste,MA,ARAME,4361,11517
Sudeste,SP,ARAMINA,1682,1760
Sudeste,SP,ARANDU,2523,1742
Sudeste,MG,ARANTINA,655,1477
Sudeste,SP,ARAPEI,872,922
Nordeste,AL,ARAPIRACA,54674,61009
Norte,TO,ARAPOEMA,1503,1955
Sudeste,MG,ARAPONGA,1317,3842
Sul,PR,ARAPONGAS,50404,15853
Sudeste,MG,ARAPORA,2564,2519
