regiao,estado,municipio,votos_Bolsonaro,votos_Lula
Nordeste,PE,MACAPARANA,4692,9524
Nordeste,BA,MACARANI,3568,5647
Sudeste,SP,MACATUBA,6871,3135
Nordeste,RN,MACAU,3697,13159
Sudeste,SP,MACAUBAL,3258,1432
Nordeste,BA,MACAUBAS,5099,19744
Sudeste,SP,MACEDONIA,1669,1082
Nordeste,AL,MACEIO,273549,204887
Sudeste,MG,MACHACALIS,1544,2828
Sul,RS,MACHADINHO,2344,1563
Norte,RO,MACHADINHO D'OESTE,11490,4750
Sudeste,MG,MACHADO,14248,8906
Nordeste,PE,MACHADOS,1847,6270
Sul,SC,MACIEIRA,757,682
Sudeste,RJ,MACUCO,2722,2848
Nordeste,BA,MACURURE,666,4186
Nordeste,CE,MADALENA,1809,9073
Nordeste,PI,MADEIRO,774,3798
Nordeste,BA,MADRE DE DEUS,2504,10187
Sudeste,MG,MADRE DE DEUS DE MINAS,1349,2120
Exterior,ZZ,MADRI,2410,3078
Nordeste,PB,MAE D'AGUA,504,2430
Norte,PA,MAE DO RIO,8584,10215
Nordeste,BA,MAETINGA,938,3578
Sul,SC,MAFRA,25493,8603
Norte,PA,MAGALHAES BARATA,1803,4193
Nordeste,MA,MAGALHAES DE ALMEIDA,2051,7079
Sudeste,SP,MAGDA,1259,912
Sudeste,RJ,MAGE,89784,59832
Nordeste,BA,MAIQUINIQUE,2084,3345
Nordeste,BA,MAIRI,2218,7845
Sudeste,SP,MAIRINQUE,16238,13058
Sudeste,SP,MAIRIPORA,29538,19164
Centro-Oeste,GO,MAIRIPOTABA,1151,885
Sul,SC,MAJOR GERCINO,1835,696
Nordeste,AL,MAJOR ISIDORO,3361,7106
Nordeste,RN,MAJOR SALES,394,2066
Sul,SC,MAJOR VIEIRA,2820,1971
Exterior,ZZ,MALABO,0,0
Sudeste,MG,MALACACHETA,3424,6655
Nordeste,BA,MALHADA,2758,7343
Nordeste,BA,MALHADA DE PEDRAS,1562,4502
Nordeste,SE,MALHADA DOS BOIS,676,2269
Nordeste,SE,MALHADOR,1995,5833
Sul,PR,MALLET,5432,3140
Nordeste,PB,MALTA,531,3316
Nordeste,PB,MAMANGUAPE,8016,16992
Centro-Oeste,GO,MAMBAI,2720,1795
Sul,PR,MAMBORE,5938,2770
Sudeste,MG,MAMONAS,1400,3161
Sul,RS,MAMPITUBA,1091,1246
Norte,AM,MANACAPURU,23667,28386
Exterior,ZZ,MANAGUA,38,34
Nordeste,PB,MANAIRA,780,5611
Norte,AM,MANAQUIRI,2906,6562
Nordeste,PE,MANARI,978,8230
Norte,AM,MANAUS,692580,437691
Norte,AC,MANCIO LIMA,6331,2708
Sul,PR,MANDAGUACU,9151,5597
Sul,PR,MANDAGUARI,14604,7498
Sul,PR,MANDIRITUBA,8792,6188
Sudeste,SP,MANDURI,3208,2214
Sul,PR,MANFRINOPOLIS,778,1569
Sudeste,MG,MANGA,3790,7264
Sudeste,RJ,MANGARATIBA,17984,10142
Sul,PR,MANGUEIRINHA,5130,5604
Sudeste,MG,MANHUACU,26099,20470
Sudeste,MG,MANHUMIRIM,6301,6311
Norte,AM,MANICORE,8056,15172
Exterior,ZZ,MANILA,34,22
Nordeste,PI,MANOEL EMIDIO,527,2985
Sul,PR,MANOEL RIBAS,5675,3025
Norte,AC,MANOEL URBANO,2889,2047
Sul,RS,MANOEL VIANA,1986,2271
Nordeste,BA,MANOEL VITORINO,1524,7951
Nordeste,BA,MANSIDAO,1100,5491
Sudeste,MG,MANTENA,8689,6081
Sudeste,ES,MANTENOPOLIS,4111,3211
Exterior,ZZ,MAPUTO,166,140
Sul,RS,MAQUINE,2255,2469
Sudeste,MG,MAR DE ESPANHA,3766,4331
Nordeste,AL,MAR VERMELHO,752,1871
Centro-Oeste,GO,MARA ROSA,3279,2913
Norte,AM,MARAA,1433,3785
Norte,PA,MARABA,74985,63908
Sudeste,SP,MARABA PAULISTA,900,1328
Nordeste,MA,MARACACUME,3174,7203
Sudeste,SP,MARACAI,5238,3096
Sul,SC,MARACAJA,3427,1717
Centro-Oeste,MS,MARACAJU,14714,6926
Norte,PA,MARACANA,5961,13178
Nordeste,CE,MARACANAU,56677,87588
Nordeste,BA,MARACAS,3351,12388
Nordeste,AL,MARAGOGI,9451,6924
Nordeste,BA,MARAGOGIPE,5024,21520
Nordeste,PE,MARAIAL,1639,4040
Nordeste,MA,MARAJA DO SENA,977,3443
Nordeste,CE,MARANGUAPE,22496,43391
Nordeste,MA,MARANHAOZINHO,1087,4697
Norte,PA,MARAPANIM,5642,11646
Sudeste,SP,MARAPOAMA,1611,504
Sul,RS,MARATA,1381,559
Sudeste,ES,MARATAIZES,15978,7689
Sul,RS,MARAU,18107,7845
Nordeste,BA,MARAU,2270,8128
Nordeste,AL,MARAVILHA,1122,4326
Sul,SC,MARAVILHA,11285,4735
Sudeste,MG,MARAVILHAS,2881,2252
Nordeste,PB,MARCACAO,849,4669
Centro-Oeste,MT,MARCELANDIA,4931,1452
Sul,RS,MARCELINO RAMOS,1827,1337
Nordeste,RN,MARCELINO VIEIRA,705,4754
Nordeste,BA,MARCIONILIO SOUZA,1035,4412
Nordeste,CE,MARCO,8100,9504
Nordeste,PI,MARCOLANDIA,1517,4547
Nordeste,PI,MARCOS PARENTE,834,2168
Sul,PR,MARECHAL CANDIDO RONDON,24373,7971
Nordeste,AL,MARECHAL DEODORO,16560,13267
Sudeste,ES,MARECHAL FLORIANO,6489,3851
Norte,AC,MARECHAL THAUMATURGO,3710,2742
Sul,SC,MAREMA,1131,586
Nordeste,PB,MARI,3769,9799
Sudeste,MG,MARIA DA FE,6067,3560
Sul,PR,MARIA HELENA,2066,1761
Sul,PR,MARIALVA,15799,7348
Sudeste,MG,MARIANA,11885,26911
Sul,RS,MARIANA PIMENTEL,1659,1130
Sul,RS,MARIANO MORO,907,866
Norte,TO,MARIANOPOLIS DO TOCANTINS,1209,1414
Sudeste,SP,MARIAPOLIS,1314,971
Nordeste,AL,MARIBONDO,2425,4770
Sudeste,RJ,MARICA,57955,54061
Sudeste,MG,MARILAC,1012,1977
Sudeste,ES,MARILANDIA,5277,3064
Sul,PR,MARILANDIA DO SUL,3648,1959
Sul,PR,MARILENA,1961,2576
Sudeste,SP,MARILIA,93172,41031
Sul,PR,MARILUZ,3122,3088
Sul,PR,MARINGA,157051,74885
Sudeste,SP,MARINOPOLIS,731,638
Sudeste,MG,MARIO CAMPOS,5079,4604
Sul,PR,MARIOPOLIS,2579,1758
Sul,PR,MARIPA,3474,797
Sudeste,MG,MARIPA DE MINAS,1207,1160
Norte,PA,MARITUBA,30886,36067
Nordeste,PB,MARIZOPOLIS,1288,3530
Sudeste,MG,MARLIERIA,1581,1764
Sul,PR,MARMELEIRO,4667,4673
Sudeste,MG,MARMELOPOLIS,1139,1147
Sul,RS,MARQUES DE SOUZA,1825,978
Sul,PR,MARQUINHO,1273,1716
Sudeste,MG,MARTINHO CAMPOS,5263,3278
Nordeste,CE,MARTINOPOLE,1235,6839
Sudeste,SP,MARTINOPOLIS,8716,5348
Nordeste,RN,MARTINS,1258,4264
Sudeste,MG,MARTINS SOARES,2820,3210
Nordeste,SE,MARUIM,2120,7492
Sul,PR,MARUMBI,1599,1525
Centro-Oeste,GO,MARZAGAO,989,945
Exterior,ZZ,MASCATE,32,14
Nordeste,BA,MASCOTE,1671,4802
Nordeste,CE,MASSAPE,6362,18279
Nordeste,PI,MASSAPE DO PIAUI,415,4107
Nordeste,PB,MASSARANDUBA,2454,6480
Sul,SC,MASSARANDUBA,8899,2027
Sul,RS,MATA,1621,1521
Nordeste,BA,MATA DE SAO JOAO,6890,23805
Nordeste,AL,MATA GRANDE,1976,9251
Nordeste,MA,MATA ROMA,2172,9421
Sudeste,MG,MATA VERDE,1917,3005
Sudeste,SP,MATAO,30481,19461
Nordeste,PB,MATARACA,1715,4273
Norte,TO,MATEIROS,478,1026
Sul,PR,MATELANDIA,8285,2407
Sudeste,MG,MATERLANDIA,598,2053
Sudeste,MG,MATEUS LEME,10764,9570
Sudeste,MG,MATHIAS LOBATO,868,1414
Sudeste,MG,MATIAS BARBOSA,4098,5365
Sudeste,MG,MATIAS CARDOSO,1376,3556
Nordeste,PI,MATIAS OLIMPIO,1251,5074
Nordeste,BA,MATINA,790,6611
Nordeste,MA,MATINHA,3329,11061
Nordeste,PB,MATINHAS,675,2674
Sul,PR,MATINHOS,13297,9358
Sudeste,MG,MATIPO,5149,6209
Sul,RS,MATO CASTELHANO,1764,552
Nordeste,PB,MATO GROSSO,204,1946
Sul,RS,MATO LEITAO,2093,1115
Sul,RS,MATO QUEIMADO,702,611
Sul,PR,MATO RICO,963,1605
Sudeste,MG,MATO VERDE,3077,5262
Nordeste,MA,MATOES,2868,15523
Nordeste,MA,MATOES DO NORTE,711,4103
Sul,SC,MATOS COSTA,838,959
Sudeste,MG,MATOZINHOS,11720,11329
Centro-Oeste,GO,MATRINCHA,1395,1471
Nordeste,AL,MATRIZ DE CAMARAGIBE,6803,5615
Centro-Oeste,MT,MATUPA,7288,2538
Nordeste,PB,MATUREIA,596,3420
Sudeste,MG,MATUTINA,1340,1162
Sudeste,SP,MAUA,111172,126418
Sul,PR,MAUA DA SERRA,3373,2292
Norte,AM,MAUES,3701,21003
Centro-Oeste,GO,MAURILANDIA,2460,2869
Norte,TO,MAURILANDIA DO TOCANTINS,604,1830
Nordeste,CE,MAURITI,5901,21178
Nordeste,RN,MAXARANGUAPE,2449,4883
Sul,RS,MAXIMILIANO DE ALMEIDA,2163,1080
Norte,AP,MAZAGAO,4967,8466
Sudeste,MG,MEDEIROS,1457,948
Nordeste,BA,MEDEIROS NETO,5612,8293
Sul,PR,MEDIANEIRA,20583,9327
Norte,PA,MEDICILANDIA,10099,4908
Sudeste,MG,MEDINA,3543,7697
Sul,SC,MELEIRO,4072,1022
Norte,PA,MELGACO,3603,7562
Sudeste,RJ,MENDES,5969,5723
Sudeste,MG,MENDES PIMENTEL,1648,2107
Sudeste,SP,MENDONCA,2286,1552
Exterior,ZZ,MENDOZA,88,56
Sul,PR,MERCEDES,3338,714
Sudeste,MG,MERCES,2150,4481
Sudeste,SP,MERIDIANO,1643,1176
Nordeste,CE,MERUOCA,2001,7965
Sudeste,SP,MESOPOLIS,759,580
Sudeste,RJ,MESQUITA,63809,39663
Sudeste,MG,MESQUITA,1790,2018
Nordeste,AL,MESSIAS,3936,5542
Nordeste,RN,MESSIAS TARGINO,1063,2528
Exterior,ZZ,MEXICO,696,633
Exterior,ZZ,MIAMI,13187,3058
Nordeste,PI,MIGUEL ALVES,2991,15287
Nordeste,BA,MIGUEL CALMON,4300,10816
Nordeste,PI,MIGUEL LEAO,467,767
Sudeste,RJ,MIGUEL PEREIRA,10451,7537
Sudeste,SP,MIGUELOPOLIS,6007,5470
Nordeste,BA,MILAGRES,1663,5062
Nordeste,CE,MILAGRES,1993,15045
Nordeste,MA,MILAGRES DO MARANHAO,614,3644
Exterior,ZZ,MILAO,3044,3371
Nordeste,CE,MILHA,1318,7535
Nordeste,PI,MILTON BRANDAO,1560,3349
Centro-Oeste,GO,MIMOSO DE GOIAS,1138,1182
Sudeste,ES,MIMOSO DO SUL,7351,7813
Centro-Oeste,GO,MINACU,8788,7512
Nordeste,AL,MINADOR DO NEGRAO,880,2489
Sul,RS,MINAS DO LEAO,2319,2557
Sudeste,MG,MINAS NOVAS,2871,10680
Sudeste,MG,MINDURI,1249,1290
Centro-Oeste,GO,MINEIROS,20936,14649
Sudeste,SP,MINEIROS DO TIETE,4667,2067
Norte,RO,MINISTRO ANDREAZZA,2973,1569
Sudeste,SP,MIRA ESTRELA,1099,895
Sudeste,MG,MIRABELA,2321,6033
Sudeste,SP,MIRACATU,6800,4194
Sudeste,RJ,MIRACEMA,7734,8938
Norte,TO,MIRACEMA DO TOCANTINS,4195,6462
Nordeste,MA,MIRADOR,2050,9859
Sul,PR,MIRADOR,596,1011
Sudeste,MG,MIRADOURO,2599,3798
Sul,RS,MIRAGUAI,1477,1935
Sudeste,MG,MIRAI,4068,3819
Nordeste,CE,MIRAIMA,1287,7875
Centro-Oeste,MS,MIRANDA,5610,7819
Nordeste,MA,MIRANDA DO NORTE,2856,8836
Nordeste,PE,MIRANDIBA,1556,6904
Sudeste,SP,MIRANDOPOLIS,9487,4340
Nordeste,BA,MIRANGABA,1858,7248
Norte,TO,MIRANORTE,3754,3781
Nordeste,BA,MIRANTE,1048,4783
Norte,RO,MIRANTE DA SERRA,3986,2353
Sudeste,SP,MIRANTE DO PARANAPANEMA,4015,5727
Sul,PR,MIRASELVA,809,668
Sudeste,SP,MIRASSOL,23095,10875
Centro-Oeste,MT,MIRASSOL D'OESTE,10080,4545
Sudeste,SP,MIRASSOLANDIA,2006,1130
Sudeste,MG,MIRAVANIA,611,1952
Sul,SC,MIRIM DOCE,1350,589
Nordeste,MA,MIRINZAL,1625,6494
Sul,PR,MISSAL,5138,2478
Nordeste,CE,MISSAO VELHA,3913,19730
Norte,PA,MOCAJUBA,5320,15451
Sudeste,SP,MOCOCA,23963,13005
Sul,SC,MODELO,1823,1060
Sudeste,MG,MOEDA,2051,2055
Sudeste,MG,MOEMA,2761,2319
Nordeste,PB,MOGEIRO,2452,5701
Sudeste,SP,MOGI DAS CRUZES,139298,105855
Sudeste,SP,MOGI GUACU,62945,26506
Sudeste,SP,MOGI MIRIM,36952,15611
Centro-Oeste,GO,MOIPORA,1073,647
Nordeste,SE,MOITA BONITA,2357,4751
Norte,PA,MOJU,11761,30445
Norte,PA,MOJUI DOS CAMPOS,9152,6351
Nordeste,CE,MOMBACA,4377,19782
Sudeste,SP,MOMBUCA,1631,776
Nordeste,MA,MONCAO,2612,11474
Sudeste,SP,MONCOES,940,610
Sul,SC,MONDAI,3807,2420
Sudeste,SP,MONGAGUA,17243,16171
Sudeste,MG,MONJOLOS,539,1038
Nordeste,PI,MONSENHOR GIL,1492,6538
Nordeste,PI,MONSENHOR HIPOLITO,792,4734
Sudeste,MG,MONSENHOR PAULO,2749,2667
Nordeste,CE,MONSENHOR TABOSA,1882,9005
Nordeste,PB,MONTADAS,1065,2808
Sudeste,MG,MONTALVANIA,2618,6068
Sudeste,ES,MONTANHA,4805,5755
Nordeste,RN,MONTANHAS,1525,5597
Sul,RS,MONTAURI,948,290
Nordeste,RN,MONTE ALEGRE,4977,8697
Norte,PA,MONTE ALEGRE,19420,18240
Centro-Oeste,GO,MONTE ALEGRE DE GOIAS,1189,2659
Sudeste,MG,MONTE ALEGRE DE MINAS,5351,5841
Nordeste,SE,MONTE ALEGRE DE SERGIPE,2296,6670
Nordeste,PI,MONTE ALEGRE DO PIAUI,952,5704
Sudeste,SP,MONTE ALEGRE DO SUL,3274,1566
Sul,RS,MONTE ALEGRE DOS CAMPOS,1601,909
Sudeste,SP,MONTE ALTO,19274,8387
Sudeste,SP,MONTE APRAZIVEL,8454,4717
Sudeste,MG,MONTE AZUL,5340,8193
Sudeste,SP,MONTE AZUL PAULISTA,7177,3683
Sudeste,MG,MONTE BELO,4174,4111
Sul,RS,MONTE BELO DO SUL,2131,450
Sul,SC,MONTE CARLO,2772,2796
Sudeste,MG,MONTE CARMELO,13471,14435
Sul,SC,MONTE CASTELO,3216,2261
Sudeste,SP,MONTE CASTELO,1420,1315
Nordeste,RN,MONTE DAS GAMELEIRAS,605,1516
Norte,TO,MONTE DO CARMO,1287,2193
Sudeste,MG,MONTE FORMOSO,614,2136
Nordeste,PB,MONTE HOREBE,390,2476
Sudeste,SP,MONTE MOR,18971,15598
Norte,RO,MONTE NEGRO,5308,1763
Nordeste,BA,MONTE SANTO,3746,27549
Sudeste,MG,MONTE SANTO DE MINAS,6694,5659
Norte,TO,MONTE SANTO DO TOCANTINS,1055,801
Sudeste,MG,MONTE SIAO,11161,3434
Nordeste,PB,MONTEIRO,4177,15749
Sudeste,SP,MONTEIRO LOBATO,1588,1376
Nordeste,AL,MONTEIROPOLIS,900,3086
Sul,RS,MONTENEGRO,21452,14445
Nordeste,MA,MONTES ALTOS,1956,3834
Sudeste,MG,MONTES CLAROS,116755,111080
Centro-Oeste,GO,MONTES CLAROS DE GOIAS,3057,2097
Exterior,ZZ,MONTEVIDEU,540,745
Sudeste,MG,MONTEZUMA,1249,2830
Centro-Oeste,GO,MONTIVIDIU,5010,2477
Centro-Oeste,GO,MONTIVIDIU DO NORTE,1286,1256
Exterior,ZZ,MONTREAL,1741,3871
Nordeste,CE,MORADA NOVA,11243,32225
Sudeste,MG,MORADA NOVA DE MINAS,2970,2426
Nordeste,CE,MORAUJO,1263,4578
Nordeste,PE,MOREILANDIA,818,6448
Sul,PR,MOREIRA SALES,4475,3024
Nordeste,PE,MORENO,13064,24360
Sul,RS,MORMACO,1279,897
Nordeste,BA,MORPARA,1499,4196
Sul,PR,MORRETES,6339,4293
Centro-Oeste,GO,MORRINHOS,15783,11632
Nordeste,CE,MORRINHOS,6594,7180
Sul,RS,MORRINHOS DO SUL,1749,868
Sudeste,SP,MORRO AGUDO,8780,6670
Centro-Oeste,GO,MORRO AGUDO DE GOIAS,1392,878
Nordeste,PI,MORRO CABECA NO TEMPO,554,2131
Sul,SC,MORRO DA FUMACA,8841,2221
Sudeste,MG,MORRO DA GARCA,624,1465
Nordeste,BA,MORRO DO CHAPEU,4131,15165
Nordeste,PI,MORRO DO CHAPEU DO PIAUI,709,3304
Sudeste,MG,MORRO DO PILAR,773,1893
Sul,SC,MORRO GRANDE,1789,492
Sul,RS,MORRO REDONDO,2380,1667
Sul,RS,MORRO REUTER,3431,1118
Nordeste,MA,MORROS,2429,9263
Nordeste,BA,MORTUGABA,2477,4296
Sudeste,SP,MORUNGABA,5558,2696
Exterior,ZZ,MOSCOU,23,46
Centro-Oeste,GO,MOSSAMEDES,1454,2127
Nordeste,RN,MOSSORO,55207,95281
Sul,RS,MOSTARDAS,3800,2987
Sudeste,SP,MOTUCA,1308,1367
Centro-Oeste,GO,MOZARLANDIA,4704,3915
Norte,PA,MUANA,4999,15680
Norte,RR,MUCAJAI,7412,1991
Nordeste,CE,MUCAMBO,1791,7514
Nordeste,BA,MUCUGE,2432,4977
Sul,RS,MUCUM,2422,939
Nordeste,BA,MUCURI,8897,11370
Sudeste,ES,MUCURICI,1352,2335
Sul,RS,MUITOS CAPOES,1462,641
Sul,RS,MULITERNO,871,809
Nordeste,CE,MULUNGU,1593,5363
Nordeste,PB,MULUNGU,1608,5309
Nordeste,BA,MULUNGU DO MORRO,925,7279
Exterior,ZZ,MUMBAI,4,11
Centro-Oeste,GO,MUNDO NOVO,1838,1797
Centro-Oeste,MS,MUNDO NOVO,6445,3826
Nordeste,BA,MUNDO NOVO,2216,8691
Sudeste,MG,MUNHOZ,2507,2124
Sul,PR,MUNHOZ DE MELO,1554,1176
Exterior,ZZ,MUNIQUE,1559,3534
Nordeste,BA,MUNIZ FERREIRA,1236,4950
Sudeste,ES,MUNIZ FREIRE,5907,4678
Nordeste,BA,MUQUEM DO SAO FRANCISCO,1582,5516
Sudeste,ES,MUQUI,4650,3917
Sudeste,MG,MURIAE,32191,28680
Nordeste,SE,MURIBECA,1448,3899
Nordeste,AL,MURICI,4827,8202
Nordeste,PI,MURICI DOS PORTELAS,802,3622
Norte,TO,MURICILANDIA,752,1295
Nordeste,BA,MURITIBA,2923,14163
Sudeste,SP,MURUTINGA DO SUL,1652,1014
Nordeste,BA,MUTUIPE,3484,9774
Sudeste,MG,MUTUM,8561,7902
Centro-Oeste,GO,MUTUNOPOLIS,1506,1128
Sudeste,MG,MUZAMBINHO,7574,6136
Sudeste,MG,NACIP RAYDAN,590,1213
Exterior,ZZ,NAGOIA,12704,2117
Exterior,ZZ,NAIROBI,25,35
Sudeste,SP,NANTES,878,861
Sudeste,MG,NANUQUE,10130,10129
Sul,RS,NAO-ME-TOQUE,7522,3315
Sudeste,MG,NAQUE,1667,2248
Sudeste,SP,NARANDIBA,1647,1806
Exterior,ZZ,NASSAU,14,9
Nordeste,RN,NATAL,219306,246881
Sudeste,MG,NATALANDIA,914,1452
Sudeste,MG,NATERCIA,1956,1186
Norte,TO,NATIVIDADE,1865,2928
Sudeste,RJ,NATIVIDADE,4912,4609
Sudeste,SP,NATIVIDADE DA SERRA,2445,1673
Nordeste,PB,NATUBA,1196,3651
Sul,SC,NAVEGANTES,31871,13590
Centro-Oeste,MS,NAVIRAI,17697,9093
Norte,TO,NAZARE,827,2248
Nordeste,BA,NAZARE,3818,13124
Nordeste,PE,NAZARE DA MATA,7418,12750
Nordeste,PI,NAZARE DO PIAUI,470,4484
Sudeste,SP,NAZARE PAULISTA,6589,4061
Sudeste,MG,NAZARENO,1769,3360
Nordeste,PB,NAZAREZINHO,734,4661
Nordeste,PI,NAZARIA,1678,7156
Centro-Oeste,GO,NAZARIO,3323,2281
Nordeste,SE,NEOPOLIS,2471,7507
Sudeste,MG,NEPOMUCENO,8190,7553
Centro-Oeste,GO,NEROPOLIS,9957,7822
Sudeste,SP,NEVES PAULISTA,3500,2242
Norte,AM,NHAMUNDA,1457,8939
Sudeste,SP,NHANDEARA,4090,1878
Sul,RS,NICOLAU VERGUEIRO,1126,617
Exterior,ZZ,NICOSIA,9,15
Nordeste,BA,NILO PECANHA,1705,5258
Sudeste,RJ,NILOPOLIS,60276,39207
Nordeste,MA,NINA RODRIGUES,1186,5832
Sudeste,MG,NINHEIRA,1663,3738
Centro-Oeste,MS,NIOAQUE,4073,3578
Sudeste,SP,NIPOA,1708,1207
Centro-Oeste,GO,NIQUELANDIA,10636,9288
Nordeste,RN,NISIA FLORESTA,6714,10013
Sudeste,RJ,NITEROI,155186,162882
Centro-Oeste,MT,NOBRES,6154,2806
Sul,RS,NONOAI,3811,3702
Nordeste,BA,NORDESTINA,1257,6280
Norte,RR,NORMANDIA,3517,2526
Centro-Oeste,MT,NORTELANDIA,1774,1799
Nordeste,SE,NOSSA SENHORA APARECIDA,1951,3846
Nordeste,SE,NOSSA SENHORA DA GLORIA,5011,17457
Nordeste,SE,NOSSA SENHORA DAS DORES,5674,10302
Sul,PR,NOSSA SENHORA DAS GRACAS,1056,1433
Nordeste,SE,NOSSA SENHORA DE LOURDES,889,3635
Nordeste,PI,NOSSA SENHORA DE NAZARE,557,3869
Centro-Oeste,MT,NOSSA SENHORA DO LIVRAMENTO,3081,6260
Nordeste,SE,NOSSA SENHORA DO SOCORRO,37770,52191
Nordeste,PI,NOSSA SENHORA DOS REMEDIOS,1267,5058
Sudeste,SP,NOVA ALIANCA,2572,1409
Sul,PR,NOVA ALIANCA DO IVAI,610,569
Sul,RS,NOVA ALVORADA,1710,629
Centro-Oeste,MS,NOVA ALVORADA DO SUL,5913,4784
Centro-Oeste,GO,NOVA AMERICA,1090,853
Sul,PR,NOVA AMERICA DA COLINA,1375,1154
Centro-Oeste,MS,NOVA ANDRADINA,14648,10360
Sul,RS,NOVA ARACA,2552,711
Centro-Oeste,GO,NOVA AURORA,774,974
Sul,PR,NOVA AURORA,5304,2861
Centro-Oeste,MT,NOVA BANDEIRANTES,5272,1301
Sul,RS,NOVA BASSANO,5151,993
Sudeste,MG,NOVA BELEM,1147,1439
Sul,RS,NOVA BOA VISTA,1150,562
Centro-Oeste,MT,NOVA BRASILANDIA,1313,1379
Norte,RO,NOVA BRASILANDIA D'OESTE,7457,2854
Sul,RS,NOVA BRESCIA,1781,515
Sudeste,SP,NOVA CAMPINA,2848,2500
Nordeste,BA,NOVA CANAA,1832,7188
Centro-Oeste,MT,NOVA CANAA DO NORTE,5281,1911
Sudeste,SP,NOVA CANAA PAULISTA,747,702
Sul,RS,NOVA CANDELARIA,1480,756
Sul,PR,NOVA CANTU,1977,2639
Sudeste,SP,NOVA CASTILHO,617,367
Nordeste,MA,NOVA COLINAS,848,2564
Centro-Oeste,GO,NOVA CRIXAS,2933,3411
Nordeste,RN,NOVA CRUZ,6526,14344
Exterior,ZZ,NOVA DELHI,14,23
Sudeste,MG,NOVA ERA,4532,6523
Sul,SC,NOVA ERECHIM,1983,1314
Sul,PR,NOVA ESPERANCA,10139,5659
Norte,PA,NOVA ESPERANCA DO PIRIA,4902,6660
Sul,PR,NOVA ESPERANCA DO SUDOESTE,1635,2279
Sul,RS,NOVA ESPERANCA DO SUL,1784,1558
Sudeste,SP,NOVA EUROPA,2557,3195
Nordeste,BA,NOVA FATIMA,1383,4372
Sul,PR,NOVA FATIMA,2592,2058
Nordeste,PB,NOVA FLORESTA,1249,4722
Sudeste,RJ,NOVA FRIBURGO,68371,46661
Centro-Oeste,GO,NOVA GLORIA,2839,2422
Sudeste,SP,NOVA GRANADA,6270,5313
Centro-Oeste,MT,NOVA GUARITA,1892,1040
Sudeste,SP,NOVA GUATAPORANGA,727,773
Sul,RS,NOVA HARTZ,7367,4602
Nordeste,BA,NOVA IBIA,1304,2487
Sudeste,RJ,NOVA IGUACU,291907,171677
Centro-Oeste,GO,NOVA IGUACU DE GOIAS,1049,977
Sudeste,SP,NOVA INDEPENDENCIA,1372,1150
Nordeste,MA,NOVA IORQUE,532,2377
Norte,PA,NOVA IPIXUNA,3644,4173
Sul,SC,NOVA ITABERABA,1734,1652
Nordeste,BA,NOVA ITARANA,1111,3700
Centro-Oeste,MT,NOVA LACERDA,1906,1137
Sul,PR,NOVA LARANJEIRAS,2685,3741
Sudeste,MG,NOVA LIMA,29146,30489
Sul,PR,NOVA LONDRINA,4211,3272
Sudeste,SP,NOVA LUZITANIA,1005,1065
Norte,RO,NOVA MAMORE,10226,2897
Centro-Oeste,MT,NOVA MARILANDIA,1190,773
Centro-Oeste,MT,NOVA MARINGA,2149,868
Sudeste,MG,NOVA MODICA,952,1532
Centro-Oeste,MT,NOVA MONTE VERDE,3227,1253
Centro-Oeste,MT,NOVA MUTUM,18643,6327
Centro-Oeste,MT,NOVA NAZARE,994,851
Sudeste,SP,NOVA ODESSA,22857,13728
Centro-Oeste,MT,NOVA OLIMPIA,4456,4795
Sul,PR,NOVA OLIMPIA,2470,1422
Nordeste,PB,NOVA OLINDA,557,3064
Nordeste,CE,NOVA OLINDA,1660,8120
Norte,TO,NOVA OLINDA,2832,3356
Nordeste,MA,NOVA OLINDA DO MARANHAO,1783,7350
Norte,AM,NOVA OLINDA DO NORTE,2673,10114
Sul,RS,NOVA PADUA,1819,225
Sul,RS,NOVA PALMA,2340,1888
Nordeste,PB,NOVA PALMEIRA,385,2410
Sul,RS,NOVA PETROPOLIS,10456,3311
Sudeste,MG,NOVA PONTE,4871,4563
Sudeste,MG,NOVA PORTEIRINHA,1668,3023
Sul,RS,NOVA PRATA,11957,3572
Sul,PR,NOVA PRATA DO IGUACU,3211,3806
Sul,RS,NOVA RAMADA,1053,658
Nordeste,BA,NOVA REDENCAO,545,4224
Sudeste,MG,NOVA RESENDE,6068,4147
Centro-Oeste,GO,NOVA ROMA,557,1403
Sul,RS,NOVA ROMA DO SUL,2041,588
Norte,TO,NOVA ROSALANDIA,1174,952
Nordeste,CE,NOVA RUSSAS,5693,12706
Sul,PR,NOVA SANTA BARBARA,1264,1451
Centro-Oeste,MT,NOVA SANTA HELENA,1588,608
Sul,RS,NOVA SANTA RITA,8152,6473
Nordeste,PI,NOVA SANTA RITA,254,2934
Sul,PR,NOVA SANTA ROSA,5062,843
Sudeste,MG,NOVA SERRANA,34819,13328
Nordeste,BA,NOVA SOURE,2029,13341
Sul,PR,NOVA TEBAS,1611,2913
Norte,PA,NOVA TIMBOTEUA,2388,6429
Sul,SC,NOVA TRENTO,7066,1938
Centro-Oeste,MT,NOVA UBIRATA,3875,1688
Norte,RO,NOVA UNIAO,2285,1754
Sudeste,MG,NOVA UNIAO,1741,2437
Sudeste,ES,NOVA VENECIA,14891,13255
Sul,SC,NOVA VENEZA,7889,2326
Centro-Oeste,GO,NOVA VENEZA,3552,2669
