regiao,estado,municipio,populacao,casosAcumulado,obitosAcumulado
Sudeste,SP,BERTIOGA,63249,11479,200
Nordeste,PI,BERTOLINIA,5501,1281,12
Sudeste,MG,BERTOPOLIS,4604,905,6
Norte,AM,BERURI,19679,2982,35
Nordeste,PE,BETANIA,12719,1218,19
Nordeste,PI,BETANIA DO PIAUI,6205,184,4
Sudeste,MG,BETIM,439340,56196,1473
Nordeste,PE,BEZERROS,60798,9841,132
Sudeste,MG,BIAS FORTES,3379,664,4
Sudeste,MG,BICAS,14494,4044,56
Sul,SC,BIGUACU,68481,17913,191
Sudeste,SP,BILAC,8034,970,26
Sudeste,MG,BIQUINHAS,2515,425,4
Sudeste,SP,BIRIGUI,123638,31369,648
Sudeste,SP,BIRITIBA MIRIM,32598,1589,120
Nordeste,BA,BIRITINGA,15979,1161,13
Sul,PR,BITURUNA,16389,2821,41
Sul,SC,BLUMENAU,357199,112155,829
Sudeste,ES,BOA ESPERANCA,15037,5383,58
Sudeste,MG,BOA ESPERANCA,40127,9277,154
Sul,PR,BOA ESPERANCA,4105,1476,20
Sul,PR,BOA ESPERANCA DO IGUACU,2503,529,2
Sudeste,SP,BOA ESPERANCA DO SUL,14923,2706,28
Nordeste,PI,BOA HORA,6781,608,7
Nordeste,BA,BOA NOVA,12633,1378,23
Nordeste,RN,BOA SAUDE,10181,1022,10
Nordeste,PB,BOA VENTURA,5366,1096,12
Sul,PR,BOA VENTURA DE SAO ROQUE,6387,1143,12
Nordeste,CE,BOA VIAGEM,54470,6507,124
Nordeste,PB,BOA VISTA,7051,1773,17
Norte,RR,BOA VISTA,399213,138505,1640
Sul,PR,BOA VISTA DA APARECIDA,7591,1883,42
Sul,RS,BOA VISTA DAS MISSOES,2098,741,7
Sul,RS,BOA VISTA DO BURICA,6712,1850,13
Sul,RS,BOA VISTA DO CADEADO,2470,514,5
Nordeste,MA,BOA VISTA DO GURUPI,9287,16,5
Sul,RS,BOA VISTA DO INCRA,2603,953,5
Norte,AM,BOA VISTA DO RAMOS,19207,1849,14
Sul,RS,BOA VISTA DO SUL,2783,699,5
Nordeste,BA,BOA VISTA DO TUPIM,18576,321,14
Nordeste,AL,BOCA DA MATA,27281,2872,53
Norte,AM,BOCA DO ACRE,34308,4897,32
Nordeste,PI,BOCAINA,4500,453,11
Sudeste,SP,BOCAINA,12329,2516,39
Sudeste,MG,BOCAINA DE MINAS,5090,903,7
Sul,SC,BOCAINA DO SUL,3474,915,5
Sudeste,MG,BOCAIUVA,49979,5061,81
Sul,PR,BOCAIUVA DO SUL,12944,3523,31
Nordeste,RN,BODO,2223,564,2
Nordeste,PE,BODOCO,38146,3397,46
Centro-Oeste,MS,BODOQUENA,7875,927,25
Sudeste,SP,BOFETE,11730,2583,30
Sudeste,SP,BOITUVA,60997,7068,215
Nordeste,PE,BOM CONSELHO,48554,3948,93
Sudeste,MG,BOM DESPACHO,50605,13215,138
Nordeste,MA,BOM JARDIM,41630,2213,58
Nordeste,PE,BOM JARDIM,39184,3148,74
Sudeste,RJ,BOM JARDIM,27446,5087,62
Sul,SC,BOM JARDIM DA SERRA,4743,1134,8
Centro-Oeste,GO,BOM JARDIM DE GOIAS,8841,2765,32
Sudeste,MG,BOM JARDIM DE MINAS,6474,1499,8
Nordeste,PI,BOM JESUS,25179,3886,55
Sul,SC,BOM JESUS,3010,791,12
Sul,RS,BOM JESUS,11349,2037,30
Nordeste,RN,BOM JESUS,10210,1574,20
Nordeste,PB,BOM JESUS,2561,481,4
Nordeste,BA,BOM JESUS DA LAPA,69148,8692,111
Sudeste,MG,BOM JESUS DA PENHA,4217,1381,21
Nordeste,BA,BOM JESUS DA SERRA,9880,701,13
Nordeste,MA,BOM JESUS DAS SELVAS,34028,4524,44
Centro-Oeste,GO,BOM JESUS DE GOIAS,25216,6266,126
Sudeste,MG,BOM JESUS DO AMPARO,6083,640,9
Centro-Oeste,MT,BOM JESUS DO ARAGUAIA,6580,1142,17
Sudeste,MG,BOM JESUS DO GALHO,14935,1026,42
Sudeste,RJ,BOM JESUS DO ITABAPOANA,37096,8811,127
Sudeste,ES,BOM JESUS DO NORTE,9936,3059,33
Sul,SC,BOM JESUS DO OESTE,2142,390,6
Sul,PR,BOM JESUS DO SUL,3541,1452,11
Norte,PA,BOM JESUS DO TOCANTINS,16981,1397,29
Norte,TO,BOM JESUS DO TOCANTINS,4894,202,3
Sudeste,SP,BOM JESUS DOS PERDOES,25448,2544,52
Nordeste,MA,BOM LUGAR,16294,660,7
Sul,RS,BOM PRINCIPIO,14055,3902,36
Nordeste,PI,BOM PRINCIPIO DO PIAUI,5630,302,14
Sul,RS,BOM PROGRESSO,1942,346,3
Sudeste,MG,BOM REPOUSO,10547,2645,35
Sul,SC,BOM RETIRO,9966,1368,23
Sul,RS,BOM RETIRO DO SUL,12328,2447,42
Sudeste,MG,BOM SUCESSO,17603,2608,35
Nordeste,PB,BOM SUCESSO,4975,851,5
Sul,PR,BOM SUCESSO,7032,2707,22
Sudeste,SP,BOM SUCESSO DE ITARARE,3954,687,7
