regiao,estado,municipio,votos_Bolsonaro,votos_Haddad
Nordeste,BA,RIACHO DE SANTANA,2105,14886
Nordeste,RN,RIACHO DE SANTANA,279,2262
Nordeste,PB,RIACHO DE SANTO ANTONIO,460,1187
Nordeste,PB,RIACHO DOS CAVALOS,860,4952
Sudeste,MG,RIACHO DOS MACHADOS,1152,3166
Nordeste,PI,RIACHO FRIO,315,2586
Nordeste,RN,RIACHUELO,1263,3298
Nordeste,SE,RIACHUELO,1219,4394
Exterior,ZZ,RIADE,22,14
Centro-Oeste,GO,RIALMA,4457,1757
Centro-Oeste,GO,RIANAPOLIS,1887,746
Nordeste,MA,RIBAMAR FIQUENE,1459,2942
Centro-Oeste,MS,RIBAS DO RIO PARDO,5264,3588
Sudeste,SP,RIBEIRA,988,981
Nordeste,BA,RIBEIRA DO AMPARO,785,7060
Nordeste,PI,RIBEIRA DO PIAUI,187,2315
Nordeste,BA,RIBEIRA DO POMBAL,6955,22235
Nordeste,PE,RIBEIRAO,5563,14120
Sudeste,SP,RIBEIRAO BONITO,3712,1778
Sudeste,SP,RIBEIRAO BRANCO,5242,4489
Centro-Oeste,MT,RIBEIRAO CASCALHEIRA,2735,1445
Sul,PR,RIBEIRAO CLARO,4418,2641
Sudeste,SP,RIBEIRAO CORRENTE,1749,960
Sudeste,MG,RIBEIRAO DAS NEVES,82449,55911
Nordeste,BA,RIBEIRAO DO LARGO,1167,4022
Sul,PR,RIBEIRAO DO PINHAL,3769,3963
Sudeste,SP,RIBEIRAO DO SUL,1583,1139
Sudeste,SP,RIBEIRAO DOS INDIOS,676,590
Sudeste,SP,RIBEIRAO GRANDE,2545,1898
Sudeste,SP,RIBEIRAO PIRES,41053,20501
Sudeste,SP,RIBEIRAO PRETO,215117,82528
Sudeste,MG,RIBEIRAO VERMELHO,1193,967
Centro-Oeste,MT,RIBEIRAOZINHO,683,650
